id, comm, latitude, longitude
732, 21, 40.58083, -74.166245
733, 4, 40.629955, -74.02517
734, 13, 40.88779, -73.864456
735, 3, 40.705853, -74.00639
736, 14, 40.7452, -73.98642
737, 0, 40.77508, -73.87563
738, 5, 40.758236, -73.98725
739, 4, 40.73991, -73.98537
740, 0, 40.767635, -73.98321
741, 0, 40.7488, -74.00523
742, 13, 40.737194, -73.99654
743, 5, 40.64412, -74.07029
744, 25, 40.71433, -74.006256
745, 8, 40.72999, -73.77895
746, 3, 40.707565, -73.802444
747, 0, 40.685745, -73.96851
748, 34, 40.853745, -73.888245
749, 7, 40.67417, -73.98542
750, 29, 40.7414, -73.99156
751, 5, 40.77063, -73.916985
752, 0, 40.75936, -73.97767
753, 0, 40.772312, -73.98414
754, 13, 40.698147, -73.83516
755, 24, 40.74768, -73.98661
756, 3, 40.75705, -73.84583
757, 2, 40.743507, -73.98594
758, 10, 40.759453, -73.96991
759, 1, 40.766945, -74.03289
760, 23, 40.764668, -73.9734
761, 23, 40.645935, -73.7762
762, 3, 40.747993, -73.88164
763, 0, 40.70296, -73.99529
764, 23, 40.746258, -73.995155
765, 13, 40.70188, -73.852974
766, 24, 40.706764, -73.79182
767, 1, 40.69964, -73.99471
768, 0, 40.59064, -73.96973
769, 34, 40.72774, -73.9948
770, 6, 40.75881, -73.91859
771, 29, 40.733055, -74.00206
772, 1, 40.667717, -73.808
773, 3, 40.553654, -74.19284
774, 4, 40.718513, -73.9931
775, 13, 40.74743, -74.02796
776, 25, 40.793922, -73.945076
777, 8, 40.7429, -73.99279
778, 8, 40.762165, -73.868576
779, 23, 40.756695, -73.97635
780, 6, 40.71853, -73.9884
781, 32, 40.741962, -73.69804
782, 3, 40.69442, -73.95794
783, 4, 40.753044, -73.97829
784, 4, 40.64349, -73.97394
785, 4, 40.75093, -73.99156
786, 18, 40.63541, -73.98449
787, 0, 40.738102, -73.98176
788, 8, 40.756767, -73.991806
789, 0, 40.728535, -73.999565
790, 6, 40.717773, -73.99823
791, 1, 40.683914, -73.85819
792, 3, 40.74011, -73.641266
793, 5, 40.74052, -73.978516
794, 4, 40.740368, -74.003685
795, 0, 40.749306, -73.99547
796, 1, 40.738613, -73.61356
797, 8, 40.88039, -73.82386
798, 0, 40.78568, -73.97283
799, 5, 40.727997, -73.89177
800, 7, 40.6355, -73.9128
801, 61, 40.654625, -73.63394
802, 1, 40.719223, -73.99025
803, 0, 40.681248, -73.976326
804, 0, 40.780266, -73.953674
805, 13, 40.727856, -73.98579
806, 8, 40.715977, -73.997375
807, 21, 40.812206, -73.93034
808, 8, 40.83117, -73.99925
809, 0, 40.72681, -74.007614
810, 4, 40.87894, -73.87392
811, 17, 40.77516, -73.90931
812, 8, 40.730953, -74.06308
813, 31, 40.693752, -73.98703
814, 0, 40.734642, -74.00485
815, 0, 40.736496, -74.001205
816, 13, 40.69662, -73.902985
817, 14, 40.746216, -73.61775
818, 0, 40.749165, -74.003975
819, 13, 40.720585, -74.046005
820, 1, 40.7384, -74.049355
821, 13, 40.762905, -73.99043
822, 11, 40.743637, -73.95349
823, 5, 40.91506, -73.75163
824, 0, 40.686863, -73.98446
825, 6, 40.767014, -73.73653
826, 21, 40.735943, -73.936745
828, 18, 40.766056, -73.97981
829, 5, 40.78238, -74.02119
830, 3, 40.521656, -74.234795
831, 24, 40.898533, -73.85513
832, 0, 40.764065, -73.97882
833, 0, 40.723083, -73.99868
834, 25, 40.76323, -73.96278
835, 0, 40.7744, -73.873924
837, 8, 40.750217, -73.99453
838, 0, 40.674263, -73.964035
839, 6, 40.70431, -73.98734
840, 0, 40.736492, -73.99297
841, 0, 40.733604, -73.99211
843, 0, 40.724136, -73.9835
844, 25, 40.755165, -73.92499
845, 4, 40.824467, -73.82048
846, 0, 40.646996, -73.99843
847, 0, 40.74675, -73.88374
848, 10, 40.752296, -73.98739
849, 13, 40.656517, -73.95655
850, 4, 40.67411, -73.96281
851, 0, 40.649, -73.7925
852, 0, 40.742954, -73.989876
853, 4, 40.779484, -73.94765
854, 34, 40.744907, -74.00248
856, 5, 40.78261, -73.94917
857, 4, 40.632874, -73.9284
858, 31, 40.766167, -73.96818
859, 24, 40.6194, -73.91787
860, 3, 40.738453, -73.88634
861, 21, 40.72978, -73.86031
863, 11, 40.697506, -73.935814
864, 0, 40.789375, -73.94823
865, 3, 40.84008, -73.940475
867, 4, 40.753212, -73.980316
868, 4, 40.84588, -73.88395
